InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,Month
542621,37448,CERAMIC CAKE DESIGN SPOTTED MUG,12,2011-01-31 09:05:00,1.49,12528.0,Germany,17.88,1.0
545587,37448,CERAMIC CAKE DESIGN SPOTTED MUG,8,2011-03-04 09:46:00,1.49,14796.0,United Kingdom,11.92,3.0
539275,22150,3 STRIPEY MICE FELTCRAFT,40,2010-12-16 15:34:00,1.65,13408.0,United Kingdom,66.0,12.0
540698,22349,DOG BOWL CHASING BALL DESIGN,30,2011-01-11 09:24:00,2.69,17450.0,United Kingdom,80.7,1.0
552544,22355,CHARLOTTE BAG SUKI DESIGN,10,2011-05-10 10:29:00,0.85,13320.0,United Kingdom,8.5,5.0
547068,85099B,JUMBO BAG RED RETROSPOT,10,2011-03-20 13:48:00,1.95,13985.0,United Kingdom,19.5,3.0
551277,22156,HEART DECORATION WITH PEARLS ,3,2011-04-27 13:06:00,0.85,13637.0,United Kingdom,2.55,4.0
541256,22355,CHARLOTTE BAG SUKI DESIGN,10,2011-01-16 14:36:00,0.85,13048.0,United Kingdom,8.5,1.0
537880,21181,PLEASE ONE PERSON METAL SIGN,24,2010-12-09 09:14:00,2.1,12963.0,United Kingdom,50.400000000000006,12.0
540957,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-01-12 13:30:00,1.25,15311.0,United Kingdom,15.0,1.0
552108,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,2011-05-06 11:36:00,3.75,17841.0,United Kingdom,3.75,5.0
544355,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,2011-02-18 10:53:00,3.25,12714.0,France,19.5,2.0
545430,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2011-03-02 14:50:00,2.95,15636.0,United Kingdom,53.1,3.0
543604,22321,BIRD DECORATION RED RETROSPOT,12,2011-02-10 13:54:00,0.85,16558.0,United Kingdom,10.2,2.0
542881,22457,NATURAL SLATE HEART CHALKBOARD ,3,2011-02-01 12:54:00,2.95,14587.0,United Kingdom,8.850000000000001,2.0
546988,22966,GINGERBREAD MAN COOKIE CUTTER,12,2011-03-18 12:57:00,1.25,14194.0,United Kingdom,15.0,3.0
544687,20754,RETROSPOT RED WASHING UP GLOVES,2,2011-02-22 17:25:00,2.1,13184.0,United Kingdom,4.2,2.0
548340,85152,HAND OVER THE CHOCOLATE   SIGN ,12,2011-03-30 14:23:00,2.1,13426.0,United Kingdom,25.200000000000003,3.0
542399,21484,CHICK GREY HOT WATER BOTTLE,3,2011-01-27 15:38:00,3.45,15549.0,United Kingdom,10.35,1.0
539414,21385,IVORY HANGING DECORATION  HEART,3,2010-12-17 13:45:00,0.85,16931.0,United Kingdom,2.55,12.0
549429,22727,ALARM CLOCK BAKELIKE RED ,4,2011-04-08 12:06:00,3.75,17001.0,United Kingdom,15.0,4.0
549837,23231,WRAP DOILEY DESIGN,25,2011-04-12 13:38:00,0.42,16705.0,United Kingdom,10.5,4.0
539593,22111,SCOTTIE DOG HOT WATER BOTTLE,6,2010-12-20 13:31:00,4.95,13319.0,United Kingdom,29.700000000000003,12.0
539405,22834,HAND WARMER BABUSHKA DESIGN,48,2010-12-17 12:38:00,0.85,12621.0,Germany,40.8,12.0
539335,82484,WOOD BLACK BOARD ANT WHITE FINISH,12,2010-12-17 10:32:00,5.55,15291.0,United Kingdom,66.6,12.0
544654,21467,CHERRY CROCHET FOOD COVER,1,2011-02-22 12:56:00,3.75,16913.0,United Kingdom,3.75,2.0
551603,85150,LADIES & GENTLEMEN METAL SIGN,5,2011-05-03 11:34:00,2.55,16745.0,United Kingdom,12.75,5.0
552281,48187,DOORMAT NEW ENGLAND,2,2011-05-08 12:42:00,7.95,15704.0,United Kingdom,15.9,5.0
544600,21523,DOORMAT FANCY FONT HOME SWEET HOME,8,2011-02-22 08:24:00,7.95,18061.0,United Kingdom,63.6,2.0
543915,85212,MINI PAINTED GARDEN DECORATION ,72,2011-02-14 13:21:00,0.21,13717.0,United Kingdom,15.12,2.0
537758,22568,FELTCRAFT CUSHION OWL,4,2010-12-08 11:41:00,3.75,16122.0,United Kingdom,15.0,12.0
545043,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2011-02-27 11:05:00,2.95,16407.0,United Kingdom,17.700000000000003,2.0
542080,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,2011-01-25 12:16:00,1.25,13815.0,Germany,30.0,1.0
551517,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-05-01 11:14:00,2.95,16931.0,United Kingdom,5.9,5.0
538596,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-13 12:10:00,2.95,17990.0,United Kingdom,17.700000000000003,12.0
537773,20727,LUNCH BAG  BLACK SKULL.,1,2010-12-08 12:36:00,1.65,16016.0,United Kingdom,1.65,12.0
548404,21937,STRAWBERRY   PICNIC BAG,5,2011-03-31 09:38:00,2.95,16398.0,United Kingdom,14.75,3.0
538250,22847,BREAD BIN DINER STYLE IVORY,1,2010-12-10 12:20:00,16.95,18118.0,United Kingdom,16.95,12.0
537242,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,2010-12-06 10:19:00,1.65,14748.0,United Kingdom,19.8,12.0
545063,21563,RED HEART SHAPE LOVE BUCKET ,1,2011-02-27 14:26:00,2.95,14606.0,United Kingdom,2.95,2.0
541485,21358,TOAST ITS - HAPPY BIRTHDAY,1,2011-01-18 13:05:00,1.25,18118.0,United Kingdom,1.25,1.0
545334,21454,PAINTED PINK RABBIT ,4,2011-03-01 16:34:00,0.85,15750.0,United Kingdom,3.4,3.0
544667,22519,CHILDS GARDEN BRUSH PINK,36,2011-02-22 15:10:00,1.85,17511.0,United Kingdom,66.60000000000001,2.0
541711,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,24,2011-01-21 11:18:00,1.25,14646.0,Netherlands,30.0,1.0
551842,22561,WOODEN SCHOOL COLOURING SET,8,2011-05-04 13:52:00,1.65,16678.0,United Kingdom,13.2,5.0
537607,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,4,2010-12-07 13:18:00,0.85,15965.0,United Kingdom,3.4,12.0
538184,22492,MINI PAINT SET VINTAGE ,36,2010-12-10 10:21:00,0.65,17880.0,United Kingdom,23.4,12.0
539551,15056P,EDWARDIAN PARASOL PINK,3,2010-12-20 11:38:00,5.95,12721.0,France,17.85,12.0
543777,22192,BLUE DINER WALL CLOCK,1,2011-02-11 16:20:00,8.5,15406.0,United Kingdom,8.5,2.0
544724,22219,LOVEBIRD HANGING DECORATION WHITE ,24,2011-02-23 10:46:00,0.85,15605.0,United Kingdom,20.4,2.0
541014,21755,LOVE BUILDING BLOCK WORD,3,2011-01-13 11:54:00,5.95,14085.0,United Kingdom,17.85,1.0
545682,84459A,PINK METAL CHICKEN HEART ,2,2011-03-06 11:39:00,1.49,14701.0,United Kingdom,2.98,3.0
537387,21638,ASSORTED TUTTI FRUTTI NOTEBOOK,12,2010-12-06 13:34:00,2.1,13468.0,United Kingdom,25.200000000000003,12.0
539450,22727,ALARM CLOCK BAKELIKE RED ,2,2010-12-17 16:53:00,3.75,15570.0,United Kingdom,7.5,12.0
