InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
565463,22952,60 CAKE CASES VINTAGE CHRISTMAS,24.0,9/5/2011 9:45,0.55,13748.0,United Kingdom
570258,21181,PLEASE ONE PERSON METAL SIGN,4.0,10/10/2011 9:56,4.13,,United Kingdom
536938,20712,JUMBO BAG WOODLAND ANIMALS,20.0,12/3/2010 12:05,1.95,14680.0,United Kingdom
565286,82482,WOODEN PICTURE FRAME WHITE FINISH,1.0,9/2/2011 11:39,4.96,,United Kingdom
571679,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,2.0,10/18/2011 13:41,0.85,14159.0,United Kingdom
553463,23139,SINGLE WIRE HOOK PINK HEART,12.0,5/17/2011 11:02,1.45,13488.0,United Kingdom
550829,21934,SKULL SHOULDER BAG,1.0,4/21/2011 10:19,1.65,17841.0,United Kingdom
564974,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",1.0,8/31/2011 15:32,10.79,,United Kingdom
542789,22383,LUNCH BAG SUKI  DESIGN ,100.0,2/1/2011 10:38,1.45,17511.0,United Kingdom
564167,23322,LARGE WHITE HEART OF WICKER,6.0,8/23/2011 13:50,2.95,17735.0,United Kingdom
573345,23212,HEART WREATH DECORATION WITH BELL,3.0,10/30/2011 12:14,1.25,17609.0,United Kingdom
569147,22582,PACK OF 6 SWEETIE GIFT BOXES,48.0,9/30/2011 15:33,2.55,12842.0,United Kingdom
578352,23454,THREE MINI HANGING FRAMES,4.0,11/24/2011 10:02,4.15,16596.0,United Kingdom
565471,23293,SET OF 12 FAIRY CAKE BAKING CASES,12.0,9/5/2011 10:12,0.83,13931.0,United Kingdom
565234,84931A,PINK SCOTTIE DOG W FLOWER PATTERN,1.0,9/2/2011 9:38,4.96,,United Kingdom
565198,23147,SINGLE ANTIQUE ROSE HOOK IVORY,6.0,9/1/2011 16:18,1.45,16729.0,United Kingdom
559814,84997D,CHILDRENS CUTLERY POLKADOT PINK,8.0,7/12/2011 15:49,4.15,15544.0,United Kingdom
553356,21931,JUMBO STORAGE BAG SUKI,10.0,5/16/2011 14:05,2.08,14038.0,United Kingdom
548505,22659,LUNCH BOX I LOVE LONDON,1.0,3/31/2011 14:34,2.46,,United Kingdom
544060,21870,I CAN ONLY PLEASE ONE PERSON MUG,6.0,2/15/2011 13:08,1.25,13623.0,United Kingdom
551810,85132C,CHARLIE AND LOLA FIGURES TINS,10.0,5/4/2011 11:32,1.95,15719.0,United Kingdom
546896,22361,GLASS JAR DAISY FRESH COTTON WOOL,1.0,3/17/2011 18:24,5.79,,United Kingdom
552826,84792,ENCHANTED BIRD COATHANGER 5 HOOK,2.0,5/11/2011 13:20,4.65,14277.0,France
572680,84663A,GRASS HOPPER WOODEN WALL CLOCK ,4.0,10/25/2011 13:48,0.79,,Portugal
554261,21174,POTTERING IN THE SHED METAL SIGN,4.0,5/23/2011 12:32,2.08,16033.0,United Kingdom
573029,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1.0,10/27/2011 13:33,2.95,14971.0,United Kingdom
554033,21507,"ELEPHANT, BIRTHDAY CARD, ",12.0,5/20/2011 14:06,0.42,16187.0,United Kingdom
564141,21668,RED STRIPE CERAMIC DRAWER KNOB,2.0,8/23/2011 11:47,1.25,17841.0,United Kingdom
569216,22994,TRAVEL CARD WALLET RETROSPOT,5.0,10/2/2011 12:41,0.42,15555.0,United Kingdom
566482,20771,CHRYSANTHEMUM  JOURNAL,6.0,9/13/2011 9:43,2.55,16609.0,United Kingdom
541280,17096,ASSORTED LAQUERED INCENSE HOLDERS,48.0,1/17/2011 11:57,0.21,15296.0,United Kingdom
575947,22424,ENAMEL BREAD BIN CREAM,3.0,11/13/2011 11:50,24.96,,United Kingdom
548991,21754,HOME BUILDING BLOCK WORD,2.0,4/5/2011 13:48,5.95,16915.0,United Kingdom
545667,85039B,S/4 IVORY MINI ROSE CANDLE IN BOWL,1.0,3/4/2011 16:07,1.63,,United Kingdom
537240,21479,WHITE SKULL HOT WATER BOTTLE ,12.0,12/6/2010 10:08,7.62,,United Kingdom
558523,21877,HOME SWEET HOME MUG,828.0,6/30/2011 10:44,1.06,17949.0,United Kingdom
569544,23389,SPACEBOY MINI BACKPACK,1.0,10/4/2011 16:33,8.29,,United Kingdom
